Name,Email*,Mobile,Social Security Number*,Account Type*,Company Name,Address*,City*,State*,Postal Code*,Company Phone,Company Website,Gst No
testt,test5645646@yopmail.com,8956325487,MATH879643123132,organization,Ibyte Infomatics Pvt Ltd,,Mathura,Uttar Pradesh,281006,,,
dfasdfsadfasdfa,fadsfaf@fdgsdfg.gsdg,4.67E+14,6.54E+11,individual,dfasdfsadfasdfa,,ludhiyana,punjab,121102,,,
fsdfsdfsdf,fdsfsd@fdgfdsgfg.gfdg,4.67E+14,5654656555,individual,,Rajeev nagar palwal,Palwal,,121102,,,
ggsdgdsfgdsfg,gdsfgdfgdf@yopmail.com,4.70E+14,12345678910,individual,,,Palwal,Haryana,121102,,,
Henry Henry,henry@yopmail.com,46123456789,256,individual,,,Blackburn,Queensland,3130,,,
Henry Henry,henry5555@yopmail.com,5.45E+11,2145454545,individual,,,Blackburn,Queensland,3130,,,
mobile app techno,mobileapp@yopmail.com,4623568989,,organization,mobile app techno,,noida,UP,121102,,,
Rajugfd,rajugfd123802@yopmail.com,4.69E+14,6.55E+11,individual,,,Palwal,Haryana,121102,,,
Ram raju,ramraju@yopmail.com,4.68E+14,7.65E+11,individual,,rajeev nagear palwal,Palwal,Haryana,121102,,,
Ram raju,ramraju34234324@yopmail.com,7.46E+12,6.44E+12,individual,,,New Delhi,haryana,281005,,,
Ravi,ravi@yopmail.com,9.19E+11,545634,individual,,,Palwal,,121102,,,
rqwes,fewsaf@fsaf.fsdfas,4.68E+14,53453543535,individual,,,Palwal,Haryana,121102,,,
william william,william@yopmail.com,5445454554,2.53E+11,individual,,,dddd,Kerala,454545,,,
