Name,Ssn,Vat Number,Email,Bankgiro,Bank Fee,Billing Address,Country,State,City,Postal Code
Prem Kumar,SSN078946312,VAT078741321,abc@yopmail.com,SBIN08743121,sender,H-221 Noida Sector-63,India,UP,Noida,281006
Prem,SSN078946312,VAT078741321,abcd@yopmail.com,SBIN08743121,sender,H-221 Noida Sector-63,India,UP,Noida,281006
Prem,SSN078946312,VAT078741321,abcde@yopmail.com,SBIN08743121,sender,H-221 Noida Sector-63,India,UP,Noida,281006
Prem,SSN078946312,VAT078741321,abcdef@yopmail.com,SBIN08743121,sender,H-221 Noida Sector-63,India,UP,Noida,281006
Prem,SSN078946312,VAT078741321,abcdefg@yopmail.com,SBIN08743121,sender,H-221 Noida Sector-63,India,UP,Noida,281006
Prem,SSN078946312,VAT078741321,abcdefgh@yopmail.com,SBIN08743121,sender,H-221 Noida Sector-63,India,UP,Noida,281006
Ravi,dasfasewe342,sdassf2e3,dsfas!@dasdf.com,dfasfew we,sender,Ishlamabad colony palwal,India,Haryana,Palwal,121102
Ravi,dasf443fd,1001,Akash@yopmail.com,dfhgadffg34,sender,Ishlamabad colony palwal,India,Haryana,Palwal,121102
Ravi,dasf443fd,1001,Akash1@yopmail.com,dfhgadffg34,sender,Ishlamabad colony palwal,India,Haryana,Palwal,121102
gaas,asgdas,agas,fdasfd@da.asdf,fsrg34df,sender,dfasdfasdf,India,Haryana,Palwal,121102
sdfasf,dsfas,fdas,fdsgsg4@ds.com,dfasf,sender,Ishlamabad colony palwal,India,Haryana,Palwal,121102
Krishna,fasf,fasf,Krishna@yopmail.com,dfhgadffg34,sender,Ishlamabad colony palwal,India,Haryana,Palwal,121102
ravi,6567576575,6567576576,shailza@gmail.com,56757757,sender,hsgdhsghgh,India,Andhra Pradesh,Akasahebpet,201301
Git Pull,ibyte121,VAT078741321,surajk123802@yopmail.com,Bankgiro0021,sender,Ishlamabad colony palwal,India,Haryana,Palwal,121102
